,target,text
3661,ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
3431,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
5085,ham,Sorry i missed your call. Can you please call back.
4953,ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
4166,ham,Are you at work right now ?
869,spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
3358,spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
1042,ham,Easy ah?sen got selected means its good..
2025,ham,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! "
3664,ham,Ha... U jus ate honey ar? So sweet...
356,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
1162,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
3926,ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
3418,spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
3341,ham,You will go to walmart. I.ll stay.
2874,ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
2862,ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? "
2181,ham,Ok.
5162,ham,Just send a text. We'll skype later.
4189,ham,"Sorry, I'll call later"
579,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
4304,ham,Yo come over carlos will be here soon
2771,ham,Then ur sis how?
2224,ham,"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor..."
4098,ham,If u dun drive then how i go 2 sch.
1691,ham,I don't know but I'm raping dudes at poker
1867,ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
4060,ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
4994,ham,"Just looked it up and addie goes back Monday, sucks to be her"
332,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
1926,ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
2894,ham,Went to ganesh dress shop
1744,spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
3383,spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
3792,ham,Hey are you angry with me. Reply me dr.
1258,ham,Honey boo I'm missing u.
4319,ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish 
1451,ham,Ya! when are Ì_ taking ure practical lessons? I start in june..  
2399,ham,Oh... Kay... On sat right?
1116,ham,Hey... What time is your driving on fri? We go for evaluation on fri?
1541,ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
3618,spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
4252,ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
1954,ham,Good night. Am going to sleep.
5329,ham,"Sir, waiting for your letter."
3045,ham,So how's the weather over there?
4041,ham,What time do u get out?
3098,ham,Ok... I din get ur msg...
2372,ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
445,ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
2778,spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
4619,ham,THIS IS A LONG FUCKIN SHOWR
4165,ham,Well if I'm that desperate I'll just call armand again
1413,spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
452,ham,K:)k:)what are detail you want to transfer?acc no enough?
5375,ham,I cant pick the phone right now. Pls send a message
2885,ham,No probs hon! How u doinat the mo?
4944,ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
3313,ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
3652,ham,It has issues right now. Ill fix for her by tomorrow.
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!
4758,spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082
3235,ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
945,ham,I cant wait to see you! How were the photos were useful? :)
5319,ham,Kothi print out marandratha.
5528,ham,Its just the effect of irritation. Just ignore it
247,ham,Kallis wont bat in 2nd innings.
3986,spam,Ringtone Club: Gr8 new polys direct to your mobile every week !
360,ham,Ha ha cool cool chikku chikku:-):-DB-)
5347,ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
3781,ham,How r Ì_ going to send it to me?
5188,ham,Okie
1776,spam,Call FREEPHONE 0800 542 0578 now!
3878,ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
4169,ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
2847,ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
4259,ham,Are you plans with your family set in stone ?
3922,ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
2696,ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
1592,ham,Will it help if we propose going back again tomorrow
1723,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
2299,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
5183,ham,"Fuuuuck I need to stop sleepin, sup"
5217,ham,Well thats nice. Too bad i cant eat it
5441,ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
1965,ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
3527,spam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
5264,ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
490,ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
4176,ham,Ok lor then we go tog lor...
862,ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
1006,spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
4255,ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
1383,ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
2405,ham,I'm meeting Darren...
3574,ham,And do you have any one that can teach me how to ship cars.
4866,ham,Okey dokey swashbuckling stuff what oh.
2235,ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
1362,ham,What does the dance river do?
4125,spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
506,ham,"Maybe westshore or hyde park village, the place near my house?"
1417,ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
3303,ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
5359,ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
3388,ham,O. Guess they both got screwd
1222,ham,Teach me apps da. When you come to college.
3815,ham,How long does it take to get it.
1113,ham,"No I'm good for the movie, is it ok if I leave in an hourish?"
2656,ham,Feel like trying kadeem again? :V
1552,ham,U too...
4769,ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
5107,ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
2580,spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.
3583,spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
5208,ham,Hi.what you think about match?
3668,ham,Yeah imma come over cause jay wants to do some drugs
433,ham,Booked ticket for pongal?
5115,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
3906,ham,No that just means you have a fat head
4649,ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \"""""
3133,ham,Ok going to sleep. Hope i can meet her.
3503,ham,Will you be here for food
2577,ham,Hey whats up? U sleeping all morning?
5425,ham,Otherwise had part time job na-tuition..
2856,ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
3916,ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
2629,ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
4172,ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
3604,ham,Jordan got voted out last nite!
1102,ham,Black shirt n blue jeans... I thk i c Ì_...
2117,ham,Wish u many many returns of the day.. Happy birthday vikky..
411,ham,Cos i want it to be your thing
3493,spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
4424,ham,Just now saw your message.it k da:)
156,ham,I'm leaving my house now...
3686,ham,Great! I shoot big loads so get ready!
194,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
615,ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."""
643,ham,Ya very nice. . .be ready on thursday
4936,ham,G wants to know where the fuck you are
5553,ham,Hahaha..use your brain dear
1068,spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
4590,spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
5292,spam,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
4503,ham,She told to hr that he want posting in chennai:)because i'm working here:)
3259,ham,I'm always looking for an excuse to be in the city.
4763,ham,Hi.:)technical support.providing assistance to us customer through call and email:)
4568,ham,At WHAT TIME should i come tomorrow
330,ham,K.k:)apo k.good movie.
2302,ham,We can make a baby in yo tho
3260,ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
3047,ham,Die... Now i have e toot fringe again...
622,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
3096,ham,"Yo, you at jp and hungry like a mofo?"
1670,ham,Lmao!nice 1
2876,ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
483,ham,Thank you baby! I cant wait to taste the real thing...
3588,ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
2687,ham,Okie
3528,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
2045,ham,Okay... I booked all already... Including the one at bugis.
5078,ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
3837,ham,Went to pay rent. So i had to go to the bank to authorise the payment.
4873,ham,Wat happened to the cruise thing
755,ham,So why didnt you holla?
518,ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
4502,ham,Stupid.its not possible
32,ham,K tell me anything about you.
4416,ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
4391,ham,what are your new years plans?
3513,ham,I always chat with you. In fact i need money can you raise me?
3123,ham,My uncles in Atlanta. Wish you guys a great semester.
1157,ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
1444,ham,Those ducking chinchillas
2091,ham,Then get some cash together and I'll text jason
744,ham,Men like shorter ladies. Gaze up into his eyes.
5132,ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; 
174,ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
5432,ham,Thanx a lot 4 ur help!
1705,ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?
3161,ham,I can't describe how lucky you are that I'm actually awake by noon
2063,spam,"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
1818,ham,Am i that much dirty fellow?
3835,ham,Then Ì_ come n pick me at 530 ar?
5214,spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
103,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
3196,ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
4140,ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
783,spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
3470,ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
4237,ham,Lol wtf random. Btw is that your lunch break
4815,ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
4356,ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
229,ham,Dear good morning now only i am up
857,ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
1211,ham,Ok then i will come to ur home after half an hour
1401,ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
2917,ham,Thanks chikku..:-) gud nyt:-*
408,ham,Headin towards busetop
170,ham,"Sir, I need AXIS BANK account no and bank address."
540,spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
1559,ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
5286,ham,I'm still pretty weak today .. Bad day ?
4989,spam,Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
1803,ham,I'm in class. Did you get my text.
3168,ham,"Haven't seen my facebook, huh? Lol!"
613,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
4349,ham,Yes. Rent is very expensive so its the way we save.
3862,spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50"
4794,ham,Saw Guys and Dolls last night with Patrick Swayze it was great
674,ham,"I've got  &lt;#&gt; , any way I could pick up?"
1161,ham,K. I will sent it again
5532,ham,happened here while you were adventuring
3939,ham,Does daddy have a bb now.
1872,ham,Oh ok i didnt know what you meant. Yep i am baby jontin
2526,ham,Do u noe how 2 send files between 2 computers?
1815,ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
2850,ham,Are you going to wipro interview today?
1700,ham,Please ask mummy to call father
3204,ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
2226,ham,If you have belive me. Come to my home.
1609,ham,You all ready for * big day tomorrow?
2342,spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
3121,spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
2718,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
564,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
4702,ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
4480,ham,No..its ful of song lyrics..
4727,ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;
4162,ham,I told that am coming on wednesday.
2582,spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each"
1548,ham,"Me, i dont know again oh"
4802,ham,How do you plan to manage that
4400,ham,Many times we lose our best ones bcoz we are 
5491,ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
5288,ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
355,ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
2409,ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
2346,ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
2955,ham,Yes there were many sweets
4630,ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
4940,ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
1172,ham,Happy new years melody!
3871,ham,I am joining today formally.Pls keep praying.will talk later.
325,ham,No calls..messages..missed calls
1051,ham,Do u noe wat time e place dat sells 4d closes?
3639,ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
4075,spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
3100,ham,Pathaya enketa maraikara pa'
4382,ham,No need lar i go engin? Cos my sis at arts today...
3154,ham,Ok...
1751,ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
2499,ham,Yup i've finished c Ì_ there...
2146,ham,So can collect ur laptop?
1772,ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
1196,ham,What he said is not the matter. My mind saying some other matter is there.
1878,ham,I AM AT A PARTY WITH ALEX NICHOLS
620,ham,Dear we got  &lt;#&gt;  dollars hi hi
2887,ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
2016,ham,"Princess, is your kitty shaved or natural?"
2005,ham,Can't take any major roles in community outreach. You rock mel
3558,spam,URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
5043,ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
1482,ham,Ok...
1189,ham,In that case I guess I'll see you at campus lodge
328,ham,"Cool, text me when you're parked"
648,ham,No prob. I will send to your email.
3648,ham,Hmm ill have to think about it... ok you're forgiven! =D
897,ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
1123,ham,Good morning princess! How are you?
2414,ham,O was not into fps then.
4489,ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
3613,ham,Ok c Ì_ then.
2432,ham,Really dun bluff me leh... U sleep early too. Nite...
4671,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
1259,ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
4653,ham,Hope you are having a great day.
2974,ham,"Don't worry, * is easy once have ingredients!"
2344,ham,Okie...
1519,ham,Check wid corect speling i.e. Sarcasm
1378,ham,"Ya tel, wats ur problem.."
4054,ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
1023,ham,May i call You later Pls
2503,ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
3861,ham,"Customer place, i wil cal u sir."
2077,ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
912,ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
3524,ham,I not free today i haf 2 pick my parents up tonite...
1675,ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But
1746,ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
2584,ham,Hi happy birthday. Hi hi hi hi hi hi hi
1736,ham,I will come tomorrow di
1629,ham,Sounds like you have many talents! would you like to go on a dinner date next week?
3320,ham,Yo im right by yo work
430,ham,At home watching tv lor.
1808,ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
3075,ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
5095,ham,K.k.this month kotees birthday know?
5073,ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
3035,ham,;-) ok. I feel like john lennon.
3011,ham,Yeah no probs - last night is obviously catching up with you... Speak soon 
3690,ham,"Sir, i am waiting for your call, once free please call me."
3248,ham,"Sorry, I can't help you on this."
4974,ham,Yar... I tot u knew dis would happen long ago already.
3176,ham,In meeting da. I will call you
4952,ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
1995,ham,Shall i come to get pickle
2764,ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
1106,ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
818,ham,Then why you not responding
3555,ham,Ok lor. I'm in town now lei.
5234,ham,Ok cool. See ya then.
1697,ham,Hai priya are you right. What doctor said pa. Where are you.
3802,ham,Yup song bro. No creative. Neva test quality. He said check review online.
136,ham,He is there. You call and meet him
2818,ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
2543,ham,Package all your programs well
5046,ham,Hmmm.still we dont have opener?
1180,ham,I'm in chennai velachery:)
3907,ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
888,ham,You unbelievable faglord
2227,ham,Oh k.k..where did you take test?
3250,ham,"IÛ÷ll leave around four, ok?"
817,ham,Also are you bringing galileo or dobby
4055,ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
4128,ham,Me i'm not workin. Once i get job...
5131,ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
1264,ham,I will see in half an hour
990,ham,26th OF JULY
3091,ham,"Dear, take care. I am just reaching home.love u a lot."
1739,ham,U guys never invite me anywhere :(
4766,spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
353,ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
4254,spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge
2142,ham,You see the requirements please
5201,spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
1489,ham,Ok i juz receive..
3428,ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
1228,spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
3866,ham,"Alright we're hooked up, where you guys at"
5281,ham,"And how you will do that, princess? :)"
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
3734,ham,"ItÛ÷s å£6 to get in, is that ok?"
3447,ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
2895,spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
3182,ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
1589,ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
1479,ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
1469,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
2416,ham,"Could you not read me, my Love ? I answered you"
2078,spam,85233 FREE>Ringtone!Reply REAL
3563,ham,Do you always celebrate NY's with your family ?
5487,spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
